,Word,Coefs
0,disappointing,-12.762
1,worst,-12.708
2,boring,-12.185
3,disappointed,-11.34
4,disappointment,-11.303
5,waste,-11.155
6,poor,-10.314
7,horrible,-9.384
8,terrible,-9.013
9,poorly,-8.714
10,awful,-8.263
11,unfortunately,-7.579
12,worse,-7.142
13,useless,-6.756
14,returned,-6.56
15,dull,-6.461
16,worthless,-6.222
17,overrated,-6.173
18,bad,-6.138
19,mediocre,-6.013
20,junk,-5.958
21,instead,-5.806
22,dont buy,-5.771
23,crap,-5.609
24,return,-5.495
25,wasted,-5.437
26,broke,-5.419
27,suck,-5.293
28,unless,-5.272
29,beware,-5.244
30,garbage,-5.237
31,lame,-5.21
32,lack,-5.202
33,bland,-5.166
34,ridiculous,-5.158
35,dissapointing,-5.142
36,skip,-5.129
37,pathetic,-5.102
38,weak,-5.086
39,refund,-4.99
40,stupid,-4.941
41,sorry,-4.939
42,maybe,-4.935
43,barely,-4.924
44,dissapointment,-4.81
45,predictable,-4.809
46,shallow,-4.767
47,returning,-4.754
48,annoying,-4.753
49,money,-4.685
50,dissapointed,-4.627
51,ruined,-4.605
52,misleading,-4.6
53,stink,-4.575
54,depressing,-4.572
55,failed,-4.562
56,trash,-4.549
57,save money,-4.533
58,lacking,-4.531
59,doesnt work,-4.527
60,tedious,-4.478
61,ok,-4.474
62,hoping,-4.472
63,didnt,-4.464
64,stay away,-4.45
65,attempt,-4.424
66,redeeming,-4.382
67,fails,-4.323
68,avoid,-4.306
69,lousy,-4.261
70,uninspired,-4.224
71,inaccurate,-4.194
72,defective,-4.181
73,zero,-4.176
74,drivel,-4.164
75,waste money,-4.155
76,wouldnt recommend,-4.143
77,stopped,-4.071
78,yawn,-4.027
79,bored,-4.019
80,waste time,-3.988
81,disapointing,-3.987
82,okay,-3.975
83,guess,-3.97
84,frustrating,-3.954
85,didnt work,-3.936
86,pointless,-3.931
87,hardly,-3.921
88,uninteresting,-3.888
89,dont recommend,-3.866
90,insult,-3.84
91,unrealistic,-3.82
92,joke,-3.773
93,yuck,-3.766
94,disapointed,-3.763
95,ripoff,-3.754
96,ugh,-3.738
97,badly,-3.723
98,hype,-3.701
99,substance,-3.699
