,Word,Coefs
0,great,11.709
1,excellent,11.536
2,awesome,9.052
3,best,8.173
4,perfect,7.798
5,amazing,7.655
6,love,7.503
7,wonderful,7.238
8,favorite,6.846
9,wont disappointed,6.646
10,highly recommend,6.475
11,fantastic,6.281
12,easy,5.817
13,outstanding,5.728
14,loved,5.686
15,superb,5.563
16,pleased,5.406
17,complaint,5.393
18,enjoyed,5.306
19,perfectly,4.992
20,good,4.91
21,solid,4.871
22,incredible,4.853
23,beautiful,4.833
24,fun,4.659
25,brilliant,4.599
26,terrific,4.537
27,fascinating,4.471
28,refreshing,4.387
29,classic,4.274
30,hilarious,4.23
31,allows,4.132
32,musthave,4.109
33,masterpiece,4.093
34,wonderfully,4.083
35,nice,4.019
36,beautifully,3.919
37,enjoyable,3.901
38,better expected,3.871
39,timeless,3.803
40,great product,3.798
41,gem,3.782
42,unique,3.763
43,downside,3.722
44,highly,3.704
45,hooked,3.696
46,powerful,3.691
47,brings,3.684
48,highly recommended,3.674
49,look forward,3.673
50,glad,3.662
51,finest,3.647
52,underrated,3.639
53,awsome,3.625
54,delightful,3.615
55,stunning,3.614
56,good product,3.611
57,fabulous,3.608
58,handy,3.578
59,pleasantly,3.563
60,life,3.549
61,bad thing,3.544
62,great book,3.538
63,loved book,3.528
64,job,3.527
65,great read,3.487
66,funniest,3.479
67,thank,3.449
68,comfortable,3.401
69,entertaining,3.382
70,wasnt disappointed,3.374
71,great buy,3.338
72,dont miss,3.325
73,nicely,3.321
74,start finish,3.289
75,high quality,3.271
76,enjoys,3.258
77,delight,3.227
78,far good,3.208
79,essential,3.206
80,rare,3.173
81,good book,3.131
82,sturdy,3.119
83,delicious,3.114
84,page turner,3.11
85,explains,3.11
86,worth penny,3.104
87,happy,3.102
88,good value,3.097
89,excelent,3.094
90,informative,3.072
91,joy,3.059
92,satisfied,3.058
93,make think,3.054
94,good buy,3.049
95,bad review,3.017
96,intense,3.011
97,really work,2.997
98,mustread,2.993
99,remarkable,2.992
